number,uid,gender,age_range_code,area_code,gender_str,age_range,area_str,CV,purchase_amount
0,AF8A229130A80057244085DF368EAB901BAC70BFFA7AC39209,2,6,2,female,50-59,Kanagawa,0,0
2,3678E7F2911F8AFDB5028E768F2D68DBF083ADF19FA82BE912,2,6,16,female,50-59,Nagano,0,0
4,D1502BDB343976260655C936611BBAAEA5F0439D8B9FC7ECC5,2,5,1,female,40-49,Tokyo,0,0
5,27E178E3EA24C59813EEDC9037A2B7CBC4F3CEF330BD7360C8,2,1,1,female,16-18,Tokyo,0,0
6,258290CEAFDD74EB75F7100AFF2EB94E4C3580A3363DE4FFBF,2,3,15,female,22-29,Niigata,0,0
8,5DE33E282808497486178689B025441FBC05F6F2C628CF6360,2,2,11,female,18-22,Ibaraki,0,0
10,DE2C4067897639F34E6F004BD02CD7BCE41FFCAF73BF2DBF69,2,4,7,female,30-39,Hyogo,0,0
14,8DB37D9825C0A5C1BD09F8D4453F7F5749ACE68E585915264A,2,3,4,female,22-29,Aichi,0,0
19,04E04E8946FFCEC232672F49EE54699562B79FDF77E325AA9C,2,5,2,female,40-49,Kanagawa,0,0
27,EC06D222ECAE6B794BC34B883DFD799C2FC953A877A11E8993,2,7,3,female,60-,Oosaka,1,320
28,3524A9565687E5A9308FBD9E6C0150F00D4576D181101058E6,2,4,3,female,30-39,Oosaka,1,220
32,350A97F0ECF18428634D5734D2FF24C2F0A8F901542420A39E,2,6,27,female,50-59,Yamaguchi,0,0
35,CFDD40E699FDC84720BC9804636851761FA6C684A29F6285ED,2,4,2,female,30-39,Kanagawa,0,0
37,53E341569C880E7723FF696BF8F7ED1ADD94FD316B8BB5366F,2,5,3,female,40-49,Oosaka,0,0
38,1196E3BEF0FA50326B29363B904E93A628D25A0EF95FED04F4,2,4,25,female,30-39,Okinawa,0,0
42,1287DB189314BA6AAEC60C537AF32032DF4C799F5029B0AD73,2,1,10,female,16-18,Shizuoka,0,0
43,4815DCC5D87434AF5CD8C767CBF250733C216A4DBA2E75661B,2,5,1,female,40-49,Tokyo,0,0
47,9EE13CBEFE1A5C0431CAAE7B447713C6AD28B81B3F447B06BD,2,2,13,female,18-22,Kyoto,0,0
48,32352A8D01606E2EB6F63CAD800CE1758D8995A27131CBEEBE,2,5,3,female,40-49,Oosaka,0,0
50,C56CE64A0D59EAB26AAA563B7D490128C7A20F8EFB2DB13490,2,2,40,female,18-22,Wakayama,0,0
51,C22D66BF583288756BE567ADE352C5FADD7F1D004F58DE0E61,2,2,7,female,18-22,Hyogo,0,0
52,F126E560455C80174CEC8A32358DA8720FC97E5779EB54BE7A,2,1,6,female,16-18,Chiba,0,0
59,0F664919310AED8198A1312D78BB06EC10B12C11C42B69D859,2,5,6,female,40-49,Chiba,0,0
60,AB31C6007AE4F9A6CF833C6F55C89100E998F1CD10B5D08C00,2,1,1,female,16-18,Tokyo,0,0
63,9F716AF745BBD9A0B1D67C6C097A7FEEE5BAAD97220F4001A4,2,2,17,female,18-22,Gifu,0,0
64,3470E623CC57F1811DCD9EE826ADC2D5F1D0378B7C06196840,2,4,6,female,30-39,Chiba,0,0
69,B7BB821E54ED48DD11DF78FA43E6B7727FF9964D7AF11AAEA1,2,2,46,female,18-22,Shimano,0,0
70,B8709731E7CCD336E367C40AC63C35265EE693BD2B1DE7A61A,2,5,5,female,40-49,Saitama,0,0
72,F15560B8690D45119264404581672355C53238691220205BBF,2,4,3,female,30-39,Oosaka,0,0
75,E3E2AD232D7825BCEA696E4FF7F6FB9BE4E87070303105F6FE,2,5,3,female,40-49,Oosaka,0,0
76,07FE28FA0C14931C1B568055376C03218BE2A54E2B372EAEC4,2,5,4,female,40-49,Aichi,0,0
82,77848EE1E0BB1226DAF39BA2C01138B0108638089E4AF4BA76,2,5,6,female,40-49,Chiba,0,0
85,C7F047AED0D97784F069A5C9A05217067AF15338BC795C45B9,2,6,2,female,50-59,Kanagawa,0,0
86,71CF88B049651C8B78E4ED97D0D3CC441DD0622D7965374B31,2,2,2,female,18-22,Kanagawa,0,0
88,E75AD6785364AB51639D2B4A287040BD668098711B18289C31,2,1,4,female,16-18,Aichi,0,0
