ID,category_big,category_medium,area,1 tsagiin tsalin 10'000 aas deesh,huwtsaslalt chuluutei,lucn baigaa,tsalin daily/weekly,suragch ajillaj bolno,bogino hugatsaagaar ajillaj bolno,7 honogt 3aas deesh ajilna,honogt 4uus deesh tsag ajilna,office iin ajil,daatgal tuldug,fashion,health/beauty,education,food,marketing/customer service,event,IT/creative,barilga,jolooch/hurgelt,ugaalga/tsewerlegee
10001,オフィスワーク・事務,一般・営業事務,Tokyo,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10004,オフィスワーク・事務,一般・営業事務,Saitama,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10006,オフィスワーク・事務,一般・営業事務,Saitama,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10012,オフィスワーク・事務,一般・営業事務,Kanagawa,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10013,オフィスワーク・事務,一般・営業事務,Saitama,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10019,オフィスワーク・事務,一般・営業事務,Saitama,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10618,医療・介護・福祉,医療事務・受付,Hyogo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10619,医療・介護・福祉,医療事務・受付,Tokyo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10620,医療・介護・福祉,医療事務・受付,Kagawa,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10621,医療・介護・福祉,医療事務・受付,Chiba,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10622,医療・介護・福祉,医療事務・受付,Kanagawa,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10623,医療・介護・福祉,医療事務・受付,Chiba,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10624,医療・介護・福祉,医療事務・受付,Saitama,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10764,ファッション・アパレル,アパレル販売,Oosaka,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10767,ファッション・アパレル,アパレル販売,Tokyo,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10770,ファッション・アパレル,アパレル販売,Saitama,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10772,ファッション・アパレル,アパレル販売,Saitama,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10773,ファッション・アパレル,アパレル販売,Oosaka,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10776,ファッション・アパレル,アパレル販売,Aichi,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10777,ファッション・アパレル,アパレル販売,Tokyo,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10781,ファッション・アパレル,アパレル販売,Kanagawa,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10782,ファッション・アパレル,アパレル販売,Saitama,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10783,ファッション・アパレル,アパレル販売,Chiba,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10784,ファッション・アパレル,アパレル販売,Tokyo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10788,ファッション・アパレル,アパレル販売,Aichi,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10790,ファッション・アパレル,アパレル販売,Tokyo,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11017,ヘルス・ビューティー,美容師・ネイリスト・まつげ施術,Saitama,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11019,ヘルス・ビューティー,美容師・ネイリスト・まつげ施術,Tokyo,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11088,教育・保育,塾講師・家庭教師,Tokyo,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11089,教育・保育,塾講師・家庭教師,Oosaka,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11091,教育・保育,塾講師・家庭教師,Tokyo,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11092,教育・保育,塾講師・家庭教師,Tokyo,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11165,飲食・フード,ファストフード・デリ,Chiba,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11166,飲食・フード,ファストフード・デリ,Chiba,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11167,飲食・フード,ファストフード・デリ,Chiba,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11169,飲食・フード,ファストフード・デリ,Chiba,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11172,飲食・フード,ファストフード・デリ,Chiba,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11174,飲食・フード,ファストフード・デリ,Saitama,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11175,飲食・フード,ファストフード・デリ,Oosaka,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11176,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11177,飲食・フード,ファストフード・デリ,Saitama,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11178,飲食・フード,ファストフード・デリ,Kanagawa,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11181,飲食・フード,ファストフード・デリ,Saitama,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11183,飲食・フード,ファストフード・デリ,Kanagawa,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11184,飲食・フード,ファストフード・デリ,Oosaka,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
